BAG;RSS;BOS;BRA
0,797204992;0,532180874;0,797204992;0,453451128
0,816628917;0,514200165;0,816628917;0,367943886
0,748356479;0,489170257;0,748356479;0,441744018
0,756654571;0,53968966;0,756654571;0,422825946
0,720729411;0,586126759;0,720729411;0,431759693
0,735740866;0,375886369;0,735740866;0,480824587
0,737622765;0,555157636;0,737622765;0,452953394
0,843654;0,575160235;0,843654;0,437935211
0,829966565;0,444567833;0,829966565;0,423768397
0,750473046;0,494288138;0,750473046;0,408843341
0,762650566;0,560249282;0,762650566;0,441942325
0,806984202;0,535247819;0,806984202;0,478542958
0,771552098;0,525900317;0,771552098;0,414886333
0,748111722;0,49876896;0,748111722;0,489130797
0,742245214;0,442905739;0,742245214;0,43276106
0,773127074;0,48240232;0,773127074;0,493694551
0,788645439;0,500475148;0,788645439;0,41430062
0,79726713;0,613079891;0,79726713;0,424442832
0,794237919;0,499630233;0,794237919;0,486038272
0,806591114;0,548249696;0,806591114;0,448604339
0,783552686;0,466171768;0,783552686;0,384516707
0,798324988;0,496082784;0,798324988;0,549185262
0,808559528;0,429435612;0,808559528;0,40902716
0,737436933;0,456353148;0,737436933;0,38857032
0,809164759;0,557482229;0,809164759;0,441549937
0,767065462;0,51112975;0,767065462;0,453830883
0,787227359;0,480261819;0,787227359;0,377652919
0,819587297;0,472211055;0,819587297;0,442767498
0,760155758;0,468160024;0,760155758;0,363339028
0,816015492;0,479925006;0,816015492;0,415456124
0,766032059;0,51875542;0,766032059;0,585721659
0,718492819;0,612263188;0,718492819;0,55231853
0,727189838;0,530400793;0,727189838;0,472537321
0,776722236;0,544510606;0,776722236;0,597062349
0,772768007;0,562389378;0,772768007;0,534093116
0,740222192;0,525851516;0,740222192;0,6303846
0,764179572;0,54444035;0,764179572;0,437727615
0,685405222;0,526652878;0,685405222;0,526967498
0,772075973;0,52081907;0,772075973;0,527171764
0,7175991;0,512162781;0,7175991;0,593405853
0,735953816;0,427002019;0,735953816;0,404291494
0,770934328;0,514946273;0,770934328;0,410488544
0,781571041;0,58578011;0,781571041;0,535478471
0,770634331;0,590735951;0,770634331;0,502215999
0,750473046;0,494288138;0,750473046;0,408843341
0,777962882;0,545466313;0,777962882;0,515650124
0,754983492;0,540590079;0,754983492;0,489257067
0,737306132;0,571991201;0,737306132;0,457505751
0,738205426;0,49059916;0,738205426;0,514757861
0,766481994;0,499429013;0,766481994;0,534802073
0,80746728;0,515190283;0,80746728;0,567774066
0,773837167;0,527258503;0,773837167;0,373716059
0,763411451;0,539146314;0,763411451;0,531535696
0,768698996;0,547131377;0,768698996;0,474322054
0,801724242;0,575989238;0,801724242;0,378333076
0,691360022;0,530920548;0,691360022;0,565130005
0,773455724;0,6748445;0,773455724;0,495899723
0,806782398;0,497729591;0,806782398;0,382367527
0,761681912;0,654813479;0,761681912;0,554785458
0,757855606;0,600312895;0,757855606;0,501972796
0,76030069;0,627912845;0,76030069;0,39457951
0,729556229;0,494844334;0,729556229;0,525897252
0,762933928;0,5332985;0,762933928;0,526954494
0,736500361;0,532523708;0,736500361;0,354414264
0,791516728;0,501402404;0,791516728;0,542785488
0,748479772;0,373857948;0,748479772;0,571663112
0,690283797;0,61033302;0,690283797;0,578945975
0,758434041;0,51671154;0,758434041;0,48891582
0,743213385;0,558050376;0,743213385;0,548834245
0,758477778;0,477163102;0,758477778;0,502462062
0,754045008;0,535631413;0,754045008;0,528851267
0,737949691;0,579493595;0,737949691;0,581347114
0,710360728;0,564666865;0,710360728;0,528899885
0,797535108;0,535944345;0,797535108;0,518394836
0,724443125;0,530356312;0,724443125;0,533589668
0,747373541;0,355082395;0,747373541;0,395347145
0,755208677;0,5565027;0,755208677;0,420859477
0,806009217;0,590281167;0,806009217;0,558758282
0,75162087;0,568133611;0,75162087;0,511325911
0,762650566;0,560249282;0,762650566;0,441942325
0,777962882;0,545466313;0,777962882;0,515650124
0,734702671;0,535448697;0,734702671;0,515634878
0,704789354;0,563552645;0,704789354;0,477479282
